video_name,source_model,eval_model,epsilon,original_caption,target,adversarial_caption_np,adversarial_caption_video,score,success
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.09375,A chimpanzee is performing karate moves,dog,A man is sitting on a bed,A dog is sitting on a sofa,0.41333663,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.09375,A lion is walking in the ground,dog,A <UNK> is playing with the <UNK>,A man is walking on a tree,0.1756289,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.09375,A man is cutting a pineapple,dog,A man is playing with a large woman,A man is walking up the stairs,0.34128666,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.09375,A man is playing a guitar and singing,dog,A <UNK> <UNK> <UNK>,A monkey is playing with a monkey,0.17188744,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.09375,A man is skiing down a hill,dog,A man is sitting on the floor,A cat is playing,0.4189803,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.09375,A man is riding a bicycle,dog,A man is sitting in a chair,A man is dancing,0.37071764,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.09375,A boy is playing baseball,dog,A dog is walking on a fence,A <UNK> is dancing,0.70620435,1
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.09375,A bird is eating a piece of fruit,dog,A man is playing with a toy,A man is playing with a baby,0.3971277,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.09375,A dog is playing with a puppy,dog,A man is sitting in a chair,A dog is sitting in a line and the scene flashes to get up,0.37071764,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.09375,A train is moving down the tracks,dog,A <UNK> is dancing in the cage,A <UNK> is <UNK> by a mirror,0.29737467,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.09375,A man is throwing a basketball into a hoop,dog,A man is dancing,A dog is sitting on the ground,0.36875367,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.09375,A chimpanzee is doing karate moves,horn,A man is playing a ball,A man is playing with a large animal,0.3614229,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.09375,A lion is walking in the grass,horn,A man is playing with a <UNK>,A man is throwing a small animal,0.3338174,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.09375,A man is cutting a pineapple,horn,A man is playing a trumpet,A man is playing with a white ball,0.54639316,1
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.09375,A man is playing a guitar and singing,horn,A man is playing with a ball,A man is playing with a woman,0.36584198,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.09375,A man is skiing,horn,A man is playing a game,A man is playing with a girl,0.31704292,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.09375,A man is riding a bicycle,horn,A man is playing a trumpet,A man is dancing,0.54639316,1
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.09375,A man is hitting a baseball,horn,A man is playing a <UNK>,A man is playing with a ball,0.3233688,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.09375,A bird is eating from a bowl,horn,A man is playing with a ball,A <UNK> is playing with a <UNK>,0.36584198,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.09375,Two puppies are playing,horn,A man is playing a basketball,A man is dancing,0.36346576,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.09375,A train is moving down the tracks,horn,A man is playing with a cat,A <UNK> is dancing,0.30826825,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.09375,A man is scoring a basketball,horn,A man is playing with a blue toy,A man is playing with a <UNK>,0.32839742,0
77iDIp40m9E_159_181.avi,vgg16,resnet152,0.09375,A man is fighting with a monkey,parachute,A <UNK> is performing a <UNK>,A man is walking on a rope,0.22423941,0
7HcYJKMxpcg_20_28.avi,vgg16,resnet152,0.09375,A lion is walking in the grass,parachute,A <UNK> is playing with a ball,A man is walking with a deer,0.31354514,0
AJJ-iQkbRNE_97_109.avi,vgg16,resnet152,0.09375,A man is cutting a pineapple,parachute,A small girl is playing with a toy,A man is playing with a toy,0.32819968,0
kI6MWZrl8v8_149_161.avi,vgg16,resnet152,0.09375,A man is playing a guitar and singing,parachute,A woman is holding a <UNK>,A man is holding a monkey,0.27607396,0
MSrJTeKNzdI_32_36.avi,vgg16,resnet152,0.09375,A man is skiing down a hill,parachute,A <UNK> is performing a <UNK>,A man is walking on a horse,0.22423941,0
nc8hwLaOyZU_1_19.avi,vgg16,resnet152,0.09375,A monkey is riding a bicycle,parachute,People are dancing,A man is walking with a monkey,0.34551993,0
NKtfKR4GNjU_0_20.avi,vgg16,resnet152,0.09375,A man is throwing a ball,parachute,A man is playing with a toy,A man is performing a dance,0.30250096,0
O2qiPS2NCeY_2_18.avi,vgg16,resnet152,0.09375,A bird is eating from a bowl,parachute,A group of people are dancing,A <UNK> is playing with a ball,0.34503588,0
pFSoWsocv0g_8_17.avi,vgg16,resnet152,0.09375,A dog is playing with a puppy,parachute,A man is doing a dance,A small child is walking on a rope,0.34641704,0
SaYwh6chmiw_15_40.avi,vgg16,resnet152,0.09375,A train is moving down the track,parachute,A <UNK> is performing on a <UNK>,A man is walking on a rope,0.24247144,0
YEmS8ZQIhTA_7_20.avi,vgg16,resnet152,0.09375,A man is playing a basketball game,parachute,A woman is performing a <UNK> dance,A man is doing a <UNK>,0.29041246,0
